timestamp,open,high24h,low24h,lastPr,quoteVolume
2025-04-06 12:21:01.071,119.86,121.11,117.2,118.23,46353193.8542
2025-04-06 12:22:01.356,119.93,121.11,117.2,117.96,46373298.4107
2025-04-06 12:22:58.003,119.93,121.11,117.2,118.12,46413473.3211
2025-04-06 12:23:59.191,120.03,121.11,117.2,118.17,46443571.3827
2025-04-06 12:24:59.489,120.1,121.11,117.2,118.22,46526003.4189
2025-04-06 12:25:58.844,119.9,121.11,117.2,118.24,46596411.6753
2025-04-06 12:26:59.442,119.92,121.11,117.2,118.24,46598230.4773
2025-04-06 12:28:01.243,119.74,121.11,117.2,118.09,46567376.8329
2025-04-06 12:29:00.629,119.8,121.11,117.2,118.07,46564249.8705
2025-04-06 12:30:00.900,119.89,121.11,117.2,118.14,46549960.8684
2025-04-06 12:31:01.199,119.89,121.11,117.2,118.02,46539997.3361
2025-04-06 12:32:01.467,119.7,121.11,117.2,117.73,46616763.824
2025-04-06 12:33:01.772,119.46,121.11,117.2,117.68,46647633.6483
2025-04-06 12:34:00.528,119.44,121.11,117.2,117.66,46690222.4585
2025-04-06 12:35:00.519,119.48,121.11,117.2,117.56,46708293.73
2025-04-06 12:35:59.889,119.48,121.11,117.2,117.39,46812577.946
2025-04-06 12:37:00.764,119.44,121.11,117.2,117.37,46803641.3667
2025-04-06 12:38:01.038,119.48,121.11,117.2,117.4,46878850.0028
2025-04-06 12:39:01.629,119.47,121.11,117.2,117.36,46930576.8171
2025-04-06 12:40:00.710,119.41,121.11,117.2,117.48,46992825.3119
2025-04-06 12:41:01.943,119.25,121.11,117.2,117.43,47064511.3442
2025-04-06 12:42:00.660,119.28,121.11,117.2,117.48,47036731.1727
2025-04-06 12:43:01.232,119.18,121.11,117.2,117.54,47015224.6587
2025-04-06 12:44:01.811,119.21,121.11,117.2,117.58,46972305.1588
2025-04-06 12:45:01.176,119.18,121.11,117.2,117.64,46971464.6458
2025-04-06 12:46:00.859,119.02,121.11,117.2,117.56,46953843.2326
2025-04-06 12:47:01.437,119.02,121.11,117.2,117.56,46959419.5953
2025-04-06 12:48:00.815,118.97,121.11,117.2,117.5,46897902.3756
2025-04-06 12:49:02.003,118.9,121.11,117.2,117.37,46863269.795
2025-04-06 12:50:02.268,118.91,121.11,117.2,117.38,46786016.8336
2025-04-06 12:51:01.942,119.1,121.11,117.2,117.53,46759693.3325
2025-04-06 12:51:59.215,119.1,121.11,117.2,117.41,46793043.066
2025-04-06 12:53:00.401,119.27,121.11,117.1,117.1,46734786.3857
2025-04-06 12:53:58.554,119.27,121.11,116.79,116.97,46854327.0908
2025-04-06 12:55:00.647,119.07,121.11,116.61,116.64,46832386.3646
2025-04-06 12:56:00.329,119.19,121.11,116.57,116.7,46818872.6038
2025-04-06 12:56:59.728,119.19,121.11,116.57,116.73,47118522.7283
2025-04-06 12:58:00.326,119.11,121.11,116.39,116.55,47377391.1776
2025-04-06 12:59:00.627,119.14,121.11,116.39,116.59,47600346.0526
2025-04-06 13:00:01.180,119.11,121.11,116.23,116.43,47769742.0914
2025-04-06 13:01:00.286,119.05,121.11,116.23,116.27,47856148.3281
2025-04-06 13:02:00.861,119.1,121.11,116.23,116.42,47917795.0638
